Parent,Child,value,link_string,feat_mean,feat_std,feat_min,feat_max,feat_median
hemoglobin,gender,956.0,"hemoglobin', 'gender",9.32893505896622,2.5230735701055043,6.115449343285954,12.959233126394244,7.983725370399318
gender,rbc,956.0,"gender', 'rbc",34.6,65.4,,,
rbc,ret_count,1699.0,"rbc', 'ret_count",3.176952585954439,0.7090313975157374,1.835855097694275,4.801475446667963,3.149633742408464
ret_count,Hemolytic anemia,1689.0,"ret_count', 'Hemolytic anemia",4.10220480118912,1.128047085525972,2.1008882820540795,5.9993248543211415,4.137926122771642
hemoglobin,rbc,746.0,"hemoglobin', 'rbc",9.666961435183474,1.0243880431708976,6.000156268375384,11.309504934353376,9.726130120351211
ret_count,gender,11.0,"ret_count', 'gender",3.083311803257497,1.1786284651116157,2.1169505098074155,5.881666298144326,2.9475475940832148
gender,Hemolytic anemia,11.0,"gender', 'Hemolytic anemia",63.6,36.4,,,
ret_count,segmented_neutrophils,2.0,"ret_count', 'segmented_neutrophils",4.165477077019017,2.529499360131094,2.3768509264632875,5.9541032275747465,4.165477077019017
segmented_neutrophils,Hemolytic anemia,2.0,"segmented_neutrophils', 'Hemolytic anemia",4.352391472618733,1.583032252793186,3.2330186318316545,5.471764313405812,4.352391472618733
rbc,segmented_neutrophils,3.0,"rbc', 'segmented_neutrophils",2.1703931365504854,0.10648511847170174,2.05397902764181,2.2628769599771417,2.1943234220325034
segmented_neutrophils,ret_count,3.0,"segmented_neutrophils', 'ret_count",0.7825438900528351,0.2962384091483668,0.4644707406335001,1.0505726606693848,0.8325882688556203
hemoglobin,,,,,,,,
,Hemolytic anemia,,,,,,,
